cell_id,latitude,longitude,population,buildings,road_km,hospitals,schools,vulnerability_index,flood_depth_m,flood_duration_h,building_damage_pct,road_damage_pct,affected_population,estimated_damage_inr,impact_class
C07108,18.246675741098283,89.36871106902905,11102.7,2285,3.01,1,10,0.325,1.261,18.1,34.21,21.61,4755.7,197936806.0,High
C07109,28.274192885953987,90.55127129895476,4547.8,1124,1.09,0,3,0.103,0.497,3.5,21.62,18.5,1069.7,56635381.0,Moderate
C07110,25.278937043759413,85.02367239389771,7329.8,1346,7.89,0,3,0.551,2.19,17.1,53.91,31.75,4779.1,188593180.0,Severe
C07111,24.775270944922884,84.9820315541157,10135.9,2082,7.18,5,3,0.628,2.098,15.9,45.01,31.3,6634.6,248873178.0,Severe
C07112,20.901920765493344,83.42344660728523,4990.4,1246,2.57,0,2,0.134,0.181,3.1,0.0,0.0,929.1,11149239.0,None/Low
C07113,22.86279472307038,82.49046349365346,1326.4,287,3.91,0,0,0.608,0.264,3.6,4.14,0.0,423.9,7223867.0,None/Low
C07114,28.178441587882073,86.26970358720428,3238.8,721,5.28,1,6,0.061,0.0,6.1,3.52,10.89,438.4,9978255.0,None/Low
C07115,18.251908054709023,88.45219631053888,4220.3,924,3.81,0,4,0.686,2.75,22.3,76.11,34.21,3319.7,166749432.0,Severe
C07116,18.645526213009628,80.20797891880356,945.8,264,0.31,0,1,0.168,0.137,2.4,7.78,5.47,176.5,5820915.0,None/Low
C07117,20.806495626490477,72.22955406646268,3404.9,769,1.1,0,3,0.592,1.47,13.0,17.98,23.99,1814.0,46723594.0,High
C07118,25.549568434154672,77.83489222508136,17238.5,3416,5.13,3,12,0.26,0.04,6.2,0.0,4.89,3314.4,39835027.0,None/Low
C07119,21.11198470072477,75.36999999807139,2525.3,644,2.12,0,3,0.671,0.369,3.8,36.41,4.55,894.9,52972036.0,Moderate
C07120,20.6867108617198,72.20621882893063,2957.4,678,3.33,0,1,0.603,0.587,3.6,11.01,6.82,1112.7,26850860.0,Moderate
C07121,19.558906380608583,89.10867405213342,6206.8,1237,6.14,1,3,0.72,0.985,11.3,30.62,25.51,2962.7,104124718.0,Moderate
C07122,21.148648928411557,83.01360869490794,8550.5,1787,2.33,1,6,0.579,1.417,15.7,34.16,31.44,4445.9,163405087.0,High
C07123,25.489614017696887,80.17360815502077,19248.4,4007,4.57,2,14,0.655,0.201,2.6,12.09,21.25,6157.6,161345998.0,None/Low
C07124,20.084455781610234,88.46537699364714,2535.9,653,4.41,1,0,0.607,1.441,9.2,38.81,37.59,1346.9,62189439.0,High
C07125,27.665170764542445,82.40438017710105,3709.9,881,3.45,1,1,0.09,0.0,1.0,0.0,7.22,528.3,6401952.0,None/Low
C07126,18.573968191856405,85.64724885508211,19871.5,4451,2.22,2,7,0.608,1.274,14.2,38.48,28.92,9960.5,427970017.0,High
C07127,22.506241221183625,74.76010903323142,4808.3,1283,4.08,1,4,0.466,1.043,8.7,26.78,16.77,2040.3,86493512.0,High
C07128,21.951021709168323,72.27673848789453,6467.3,1197,7.6,1,2,0.569,0.419,5.5,4.57,2.13,2184.1,36088831.0,Moderate
C07129,22.545142725639952,85.6115607051264,1388.3,335,12.29,0,0,0.204,0.32,2.8,6.31,0.0,317.6,7616059.0,Moderate
C07130,25.155306674689182,76.1066190907184,2690.2,652,7.15,2,4,0.904,0.1,6.9,12.32,0.0,979.2,26209751.0,None/Low
C07131,25.704745638938427,74.13077316153243,2577.2,510,2.65,0,1,0.527,0.204,2.5,10.64,8.62,743.5,18742298.0,None/Low
C07132,21.96147226126347,87.20741338610061,930.5,172,3.8,1,0,0.899,0.699,7.9,24.68,5.82,437.8,12951428.0,Moderate
C07133,26.516538614205906,85.05325229954352,4197.5,849,3.06,1,2,0.804,1.505,10.2,39.34,31.02,2485.0,90180876.0,High
C07134,26.72627366290731,79.58762992806008,6414.8,1356,0.48,1,4,0.916,0.769,13.4,29.84,18.82,3126.4,110381438.0,Moderate
C07135,23.870716316662687,83.46191425581023,1218.6,343,4.32,0,2,0.648,0.163,1.0,12.94,6.97,379.5,12616460.0,None/Low
C07136,25.541188363234575,90.75549981998174,4794.1,1245,1.72,0,4,0.687,0.891,11.3,17.58,22.46,2167.6,65511798.0,Moderate
C07137,27.72355097763799,75.1456627846879,28491.0,8037,1.94,2,20,0.559,0.796,11.5,29.38,29.22,11482.3,562931027.0,Moderate
C07138,22.88996173191042,90.36112028499596,7984.3,2107,1.91,0,6,0.769,0.062,5.5,9.8,9.3,2581.8,68212233.0,None/Low
C07139,20.93909242639921,89.30687871899305,1940.3,488,4.11,0,1,0.572,0.732,5.8,16.89,22.62,765.9,24255954.0,Moderate
C07140,26.16821942860406,88.63632820145885,4305.8,989,0.29,1,3,0.051,0.677,4.1,21.62,18.87,1096.7,51657107.0,Moderate
C07141,27.694814790341212,78.59618175507032,3161.1,674,6.99,2,1,0.426,1.178,10.3,15.83,19.16,1386.0,36173294.0,High
C07142,21.48850307939842,72.33882217779639,3509.4,802,6.2,0,1,0.532,0.0,1.5,2.59,0.0,888.0,14392120.0,None/Low
C07143,26.142078239270596,87.3280550974857,3216.8,768,5.87,0,0,0.43,0.223,9.7,0.0,0.84,861.0,10343815.0,None/Low
C07144,24.116502379888107,84.85422798041199,8692.7,1948,4.18,2,9,0.863,1.578,15.1,47.79,33.71,5387.1,232568886.0,High
C07145,23.292556328654882,86.35334610209605,1615.5,324,1.65,0,2,0.208,0.0,1.2,12.44,0.49,278.0,10594034.0,None/Low
C07146,19.527394371772132,88.36437501688773,3621.0,682,3.97,1,1,0.571,0.454,4.8,32.83,10.88,1247.0,55376212.0,Moderate
C07147,23.863856538370737,73.21847371055311,904.0,250,2.03,1,0,0.933,1.135,12.4,32.35,18.4,504.0,20697388.0,High
C07148,27.095609086332473,82.45762251109124,1861.1,467,3.36,0,1,0.456,1.238,8.8,36.93,16.18,850.3,41379573.0,High
C07149,18.027522342017992,73.45690063743244,4513.9,1259,3.14,1,2,0.428,0.0,2.8,0.0,3.46,1025.0,12326867.0,None/Low
C07150,18.133993396342607,84.12853121864612,2222.4,592,3.48,0,1,0.364,0.629,12.8,32.41,5.53,720.7,43232755.0,Moderate
C07151,28.750199500334183,73.52425077739,2746.4,537,4.05,1,0,0.826,0.131,3.2,13.41,9.21,961.7,24592973.0,None/Low
C07152,22.556470800685887,73.93478284591754,4301.2,959,2.98,1,5,0.761,0.632,8.5,35.9,1.18,1823.7,83866174.0,Moderate
C07153,28.057421149993896,78.10768695754169,867.8,189,1.49,0,1,0.274,0.383,7.4,13.31,12.93,223.4,7258134.0,Moderate
C07154,24.13486644450531,76.46898996282543,4320.4,1025,2.75,1,6,0.78,0.324,7.8,20.18,12.84,1612.7,56670322.0,Moderate
C07155,22.450305068933122,78.86807858540826,6933.3,1362,4.08,2,4,0.353,0.847,10.9,20.65,17.02,2500.8,80806916.0,Moderate
C07156,18.46381221354471,87.6612131192227,1244.4,243,8.6,0,1,0.892,2.04,17.1,46.51,43.59,883.7,31885308.0,Severe
C07157,20.947323651038612,72.00201224115027,9518.4,2566,4.04,0,1,0.699,2.227,15.9,63.93,43.2,6621.9,375167592.0,Severe
C07158,22.863149558748045,85.29808469446216,27287.7,6887,1.0,5,12,0.75,0.9,12.0,18.14,27.97,12810.3,378702443.0,Moderate
C07159,28.871222889171236,79.46620256131821,1088.3,199,5.56,0,0,0.886,0.0,3.1,22.22,9.6,371.8,12555507.0,None/Low
C07160,21.849101705296572,75.68540741896587,3163.6,686,11.33,1,3,0.815,0.215,6.7,18.77,9.25,1146.9,37204284.0,None/Low
C07161,21.47491629256826,90.15616610107884,4868.8,1272,2.56,0,6,0.674,1.547,20.5,38.74,18.72,2760.3,121944181.0,High
C07162,19.929563806889114,81.44655277603323,4259.8,775,2.15,0,4,0.659,0.238,8.7,20.17,10.81,1395.5,44944583.0,None/Low
C07163,22.16760823508789,90.63860799406285,2590.4,471,3.9,0,2,0.398,0.223,1.0,6.9,9.54,672.3,14008116.0,None/Low
C07164,21.243206619001644,72.16262115189062,3912.7,761,7.13,1,3,0.619,1.475,12.9,44.9,22.58,2114.3,87283909.0,High
C07165,21.82024704714884,86.59068764338912,661.2,135,1.19,0,0,0.177,0.273,6.4,20.01,12.58,141.1,6592155.0,None/Low
C07166,28.58732484233661,88.15173536830707,10474.1,2818,0.48,2,9,0.911,0.461,6.8,19.17,13.57,4512.2,151416910.0,Moderate
C07167,20.362768511121907,78.21418040464226,1928.5,351,3.46,1,2,0.879,1.192,6.4,41.89,24.99,1069.2,39513053.0,High
C07168,25.03749084147662,90.96352823688854,8309.4,1596,0.5,4,4,0.496,1.195,10.9,24.79,26.18,3815.3,117035153.0,High
C07169,18.82309443490579,82.05977588615559,6403.2,1632,0.74,3,3,0.732,1.715,16.6,50.44,40.83,3917.1,195254377.0,High
C07170,24.52162349410817,87.7836817532069,529.8,130,2.24,0,0,0.87,1.985,20.7,63.09,41.57,368.1,19414297.0,High
C07171,22.047688241457156,90.6655483117559,1233.8,291,3.33,0,1,0.578,0.28,1.0,14.41,7.41,388.7,12274076.0,None/Low
C07172,19.126870724462417,89.0371949583415,1035.2,210,4.0,0,1,0.606,1.1,6.1,42.21,18.62,486.0,21972015.0,High
C07173,19.95732124354796,78.46810935187713,2594.3,585,7.85,0,2,0.202,0.093,4.3,18.58,0.36,485.3,25399306.0,None/Low
C07174,18.22116510877649,74.62042418887667,5453.6,1216,4.09,1,3,0.257,0.101,3.4,0.8,4.23,1104.3,15052228.0,None/Low
C07175,27.662993615009785,85.8631154426057,3832.6,883,6.7,2,2,0.663,1.023,9.5,27.82,10.96,1801.4,66019399.0,High
C07176,27.561473780774584,78.24109881875575,2484.2,563,3.25,0,0,0.471,0.618,3.0,32.1,8.63,867.0,43006619.0,Moderate
C07177,21.816777456576407,82.52320286329882,3101.7,594,4.78,1,2,0.76,0.125,7.4,16.87,2.86,1031.8,30457927.0,None/Low
C07178,23.38862450962399,83.91684438645878,9479.3,2364,3.15,1,7,0.181,0.393,3.7,15.98,8.57,2237.9,94932887.0,Moderate
C07179,21.75057818240233,82.69149906341542,4081.3,896,2.76,0,2,0.272,0.182,5.7,17.16,11.25,901.0,38563882.0,None/Low
C07180,25.501239677073702,74.62437779333848,25292.6,4747,3.18,1,15,0.75,0.742,10.5,23.74,21.51,11155.2,336889176.0,Moderate
C07181,22.522602466327427,88.38682155276335,506.0,92,3.87,0,0,0.159,0.313,1.3,10.14,8.63,109.4,3075090.0,Moderate
C07182,25.622074350590616,76.71652066107674,3886.4,760,4.01,0,3,0.347,2.132,19.2,46.67,29.57,2295.2,91681530.0,Severe
C07183,21.08206480195833,84.82880593238757,8311.5,2045,8.86,2,8,0.726,1.672,9.4,37.93,27.54,5006.8,200298972.0,High
C07184,26.388756163860403,78.2799418403828,3359.6,739,0.91,0,3,0.42,2.685,26.2,47.2,39.61,2379.7,91430422.0,Severe
C07185,26.37899161509406,77.76670035432343,3298.7,696,3.87,0,0,0.478,0.516,2.1,24.32,9.32,1096.4,43714832.0,Moderate
C07186,23.356745293765435,90.22156292846219,3688.4,1007,4.28,0,2,0.385,0.379,4.0,20.7,5.65,1049.6,50170991.0,Moderate
C07187,21.44109899814455,73.88728297794809,6087.5,1202,3.85,0,5,0.42,0.0,4.7,15.54,14.68,1369.8,50207925.0,None/Low
C07188,23.62526865623745,75.0469918540012,5402.9,987,4.44,0,4,0.636,0.787,7.7,19.53,19.33,2273.0,62179848.0,Moderate
C07189,24.500392241763024,73.87659451777185,2456.5,649,2.46,1,1,0.385,0.075,1.0,17.65,6.13,564.3,27432326.0,None/Low
C07190,22.083146260230492,89.3862120610458,2422.3,597,3.03,1,0,0.565,0.757,5.1,20.24,12.48,962.9,33400291.0,Moderate
C07191,19.605000117631906,77.5022252611971,3694.4,764,0.63,0,5,0.341,0.855,8.0,17.69,26.3,1326.4,40282519.0,Moderate
C07192,24.130158434648575,88.33775699429151,2641.9,525,1.69,0,1,0.603,0.145,1.0,7.15,0.0,784.5,16166320.0,None/Low
C07193,21.368022115831113,85.39694410815208,2507.6,574,10.18,0,1,0.645,0.906,12.0,32.94,22.07,1114.1,47968120.0,Moderate
C07194,26.433389858918105,85.60777873618588,1418.8,285,1.78,0,0,0.782,0.236,5.4,27.91,22.5,507.9,20514758.0,None/Low
C07195,24.41649238837416,84.2512555169051,1925.3,431,1.25,0,3,0.816,0.256,4.8,13.96,1.42,712.5,19387090.0,None/Low
C07196,19.90631264303603,89.13813330990081,1182.8,320,7.43,0,0,0.423,0.426,8.2,16.07,14.93,357.9,13827433.0,Moderate
C07197,19.15084395408222,76.88707397239692,12019.6,2406,3.73,5,8,0.573,1.365,16.1,33.0,29.72,6116.2,216605935.0,High
C07198,26.61128205745873,75.04687336721135,3093.4,866,1.96,0,1,0.763,0.011,2.9,0.0,0.0,967.8,11613623.0,None/Low
C07199,20.75160980819596,77.13174410621782,2317.5,524,3.79,0,2,0.278,3.41,30.5,73.31,55.85,1861.5,92011107.0,Severe
C07200,22.29045674721199,86.26428292132613,1841.4,494,3.7,0,0,0.61,0.74,2.8,25.4,0.0,747.1,31548246.0,Moderate
C07201,28.12475341181151,84.16402732378562,5519.3,1201,0.99,0,6,0.936,0.199,8.0,18.46,8.22,2151.2,65744096.0,None/Low
C07202,19.37726177061254,74.5751246455329,1521.0,296,2.86,0,2,0.928,1.13,16.0,45.72,20.6,844.7,34643975.0,High
C07203,19.947813451083086,72.90670751746913,4540.9,1193,0.46,1,2,0.07,0.345,6.3,6.73,0.0,906.4,25322419.0,Moderate
C07204,28.251019705190547,75.57518918123526,625.4,114,0.71,0,1,0.928,0.01,1.9,2.62,0.1,221.4,3194824.0,None/Low
C07205,24.591994092875215,85.96937699610775,762.0,158,6.88,0,0,0.407,0.192,7.9,14.36,8.3,195.3,6570083.0,None/Low
C07206,22.82051158715823,72.43289500734811,3325.1,684,5.18,1,2,0.627,2.082,17.2,53.16,34.62,2166.6,91899357.0,Severe
C07207,18.543193669782244,86.04824362809978,1544.8,425,1.07,0,1,0.194,0.97,16.3,28.71,18.7,530.2,28377874.0,Moderate
C07208,22.483735267882174,83.99187935533149,2425.3,670,5.33,1,1,0.528,0.179,10.8,7.26,0.19,689.5,17026461.0,None/Low
C07209,28.14843668631669,80.56901313684932,1039.2,204,1.26,0,0,0.215,0.019,5.9,8.37,4.78,184.1,5298027.0,None/Low
C07210,25.787672431148906,80.88161172298825,987.8,264,8.05,0,0,0.48,0.112,1.0,18.61,2.55,257.0,11976496.0,None/Low
C07211,26.563594508134855,83.73947627747326,2743.3,553,0.32,0,3,0.888,0.413,10.4,24.58,17.91,1142.3,38193250.0,Moderate
C07212,26.99588232696922,86.70557856783536,1200.8,219,3.41,0,0,0.356,1.537,13.3,32.57,28.49,583.2,20078181.0,High
C07213,25.624087167849957,82.1385953261489,18259.1,4564,0.76,3,12,0.223,0.427,4.2,9.57,11.91,4613.8,133978590.0,Moderate
C07214,27.967793310851782,83.34264775019001,4045.4,790,3.17,1,2,0.361,0.211,8.8,10.42,7.65,1004.7,26937178.0,None/Low
C07215,19.456906821927667,74.10850864614879,781.4,181,2.86,0,0,0.264,0.249,2.9,12.65,4.24,180.3,6314749.0,None/Low
C07216,18.877284728293887,84.44819473382505,2603.9,637,4.16,0,2,0.739,0.022,1.0,16.37,8.5,803.8,28498826.0,None/Low
C07217,27.749259283195574,78.72049902340729,1082.7,214,2.66,0,1,0.188,1.356,10.6,36.63,26.47,445.2,19626673.0,High
C07218,27.428799222653588,73.87717245453074,6614.6,1831,1.91,0,5,0.542,0.264,5.2,13.66,7.52,2005.2,69120127.0,None/Low
C07219,25.335768834639673,82.31852877461688,2051.2,444,2.12,0,0,0.53,0.009,1.9,7.6,2.63,521.6,12346504.0,None/Low
C07220,25.19524819128179,82.90061841622713,4799.2,943,0.74,0,4,0.766,1.164,5.4,33.64,16.3,2500.1,87139113.0,High
C07221,22.4291346723519,85.16230476743858,3242.3,749,5.54,1,5,0.552,1.554,13.7,36.25,23.46,1743.8,70125154.0,High
C07222,20.893898795583958,76.81463448263675,3983.9,791,1.5,2,2,0.535,0.055,1.0,15.72,4.73,1050.9,35008354.0,None/Low
C07223,27.343466211974064,74.11131481245111,6921.4,1600,3.31,0,1,0.78,0.922,6.9,18.24,12.04,3329.0,92571723.0,Moderate
C07224,22.19230642320715,88.29917249196481,5641.4,1598,3.14,1,9,0.764,0.225,8.5,16.65,0.0,1982.5,71685825.0,None/Low
C07225,19.696696420413783,83.8411215331911,2478.2,479,0.51,0,1,0.748,0.862,11.0,24.14,17.55,1145.3,34577009.0,Moderate
C07226,25.351584816304243,90.40518764617653,6264.9,1678,1.51,0,5,0.441,1.268,9.4,42.99,14.8,2872.9,164372354.0,High
C07227,22.59143858295646,80.89783926814192,2382.8,616,7.42,0,2,0.852,0.041,1.5,13.78,2.67,810.9,25064764.0,None/Low
C07228,18.558191627341934,72.50308193412366,1501.5,396,9.8,0,3,0.412,0.954,17.3,41.67,20.99,592.6,37324738.0,Moderate
C07229,27.692277014729676,81.79775604502314,2351.9,579,3.51,0,2,0.889,1.917,16.8,51.95,22.69,1616.2,73740648.0,High
C07230,24.996143293458804,73.35546364298999,6670.3,1494,2.86,0,8,0.14,0.316,1.0,17.42,5.44,1412.7,63837588.0,Moderate
C07231,26.236329450534683,76.90421543174133,1354.9,329,1.27,0,0,0.281,1.002,11.5,32.57,18.63,502.0,25370583.0,High
C07232,20.138301558005374,85.56388517931777,1298.9,274,3.82,1,1,0.525,0.384,3.1,23.57,4.41,416.2,16662311.0,Moderate
C07233,22.077944647131787,76.71481747437187,1138.1,212,2.26,0,0,0.824,0.348,1.7,24.61,5.62,442.3,14730588.0,Moderate
C07234,24.655758156712317,80.49701364373738,14209.7,2719,3.6,4,10,0.347,0.556,13.3,21.5,7.06,4358.7,157590648.0,Moderate
C07235,24.518733616648646,82.09580594889248,2047.4,549,4.68,0,0,0.374,0.239,3.5,0.0,5.54,524.8,6362445.0,None/Low
C07236,18.929406556952678,77.06171469239219,2511.7,587,2.51,1,2,0.76,1.944,11.8,38.12,43.59,1657.5,60438002.0,High
C07237,19.583033851201435,73.03805814748036,2990.0,580,3.66,0,1,0.677,1.775,14.5,44.87,31.37,1820.6,68974762.0,High
C07238,23.889079437081385,88.2365712669071,8161.0,2045,3.99,4,8,0.511,0.361,7.3,10.62,7.35,2552.9,69794146.0,Moderate
C07239,28.96420146446183,90.32549027137604,1204.5,341,2.86,1,2,0.833,1.154,13.0,38.71,20.57,645.7,31656873.0,High
C07240,20.45713836515994,74.53284242253108,2841.7,655,2.98,1,1,0.256,0.321,5.3,26.47,11.19,686.7,39526730.0,Moderate
C07241,23.57776407765761,87.97184642134539,5655.7,1366,2.8,2,7,0.467,0.717,10.8,11.05,16.51,2069.7,52115582.0,Moderate
C07242,28.985530085337423,87.12646724445712,4855.3,1337,1.57,0,4,0.674,0.446,6.6,19.89,6.34,1790.2,69370743.0,Moderate
C07243,28.549163648153673,78.32279480516605,2232.1,495,4.12,1,1,0.634,2.922,26.7,64.46,46.74,1795.8,79469936.0,Severe
C07244,21.807613104404105,75.35202960811779,6207.9,1236,5.5,1,5,0.551,0.003,2.9,9.43,0.0,1604.0,40229223.0,None/Low
C07245,18.28687084662761,85.78491429914045,2279.7,448,5.8,0,2,0.641,1.292,14.1,23.13,30.61,1169.4,33127705.0,High
C07246,18.15721722449161,76.17833457391141,970.3,233,5.31,1,4,0.39,1.41,14.6,35.66,24.87,457.3,20772677.0,High
C07247,28.3461111938528,78.26061309446332,3617.0,897,1.64,0,1,0.639,1.496,17.6,44.52,21.06,1986.1,95801537.0,High
C07248,23.61018819271111,76.24525616359762,4020.4,1081,2.84,0,2,0.609,1.622,15.6,43.52,30.47,2268.4,112126814.0,High
C07249,23.445333761050037,84.54767080316633,8236.3,1500,3.06,1,4,0.084,0.538,7.0,19.04,7.71,1958.0,74969425.0,Moderate
C07250,23.064015758017295,88.88889553656682,2276.0,484,6.31,1,4,0.47,1.215,12.3,41.41,16.71,1038.4,48801875.0,High
C07251,24.109893551221646,81.67128855779276,2705.3,603,7.98,0,1,0.157,0.805,8.5,13.51,19.64,822.8,24932870.0,Moderate
C07252,21.48181155750097,89.6904583163696,2288.8,506,3.56,0,1,0.5,0.372,1.0,16.93,15.1,714.1,24123678.0,Moderate
C07253,20.93167732905423,74.09719081195465,1738.8,324,1.7,1,0,0.72,0.0,7.9,17.24,4.45,521.4,16327973.0,None/Low
C07254,25.5693596207365,87.79505961824425,3608.0,934,6.03,0,2,0.16,0.306,1.0,20.24,16.37,776.4,43589870.0,Moderate
C07255,28.65690109608989,73.55563384557374,427.3,89,4.51,0,0,0.237,2.584,23.7,50.31,45.36,275.4,11875523.0,Severe
C07256,25.027282718519253,85.67806317913454,1110.1,283,4.19,0,1,0.289,1.976,16.6,52.42,25.99,608.2,34271744.0,High
C07257,26.745066721224383,79.68100513559327,1530.8,385,6.87,0,3,0.167,0.139,4.8,21.09,9.82,285.8,18212676.0,None/Low
C07258,24.71917285310018,85.50858577400291,3839.5,1019,3.02,1,3,0.745,0.491,4.7,7.31,15.56,1514.9,31712227.0,Moderate
C07259,24.388408667188983,89.12576094558682,2999.7,618,1.11,0,1,0.711,2.723,23.2,63.38,40.67,2363.0,98972985.0,Severe
C07260,22.228482650661096,73.65428421260495,1224.5,243,7.39,0,0,0.554,0.578,1.0,24.04,5.52,443.8,15942468.0,Moderate
C07261,25.2315409281325,86.2772170182254,2880.3,604,2.77,0,1,0.384,0.074,8.7,7.01,18.39,660.6,15679113.0,None/Low
C07262,23.778315058364527,90.1849695939604,2596.4,633,3.52,2,0,0.706,0.087,5.0,17.55,0.39,810.5,29723710.0,None/Low
C07263,27.0236715144913,86.59006092254288,1820.2,412,3.21,0,1,0.263,0.234,2.2,19.98,21.81,414.9,19970474.0,None/Low
C07264,25.430363523205713,72.8984994102005,28589.5,6649,6.31,0,16,0.346,0.0,1.0,9.68,6.5,5906.3,186796552.0,None/Low
C07265,25.261589912748775,79.05635445930943,14915.8,3047,6.98,1,6,0.958,0.144,1.7,37.08,11.18,5748.6,272548411.0,None/Low
C07266,21.33950980095079,75.21995159398034,1243.1,262,3.53,0,1,0.584,4.63,43.2,93.0,71.51,1243.1,59408801.0,Severe
C07267,20.77073768529435,86.34723620516367,640.7,141,2.18,0,1,0.227,1.59,14.1,34.19,30.88,296.6,12403607.0,High
C07268,20.94567614859004,79.03761584212646,6026.8,1356,5.43,0,9,0.637,0.411,3.6,32.35,0.0,2129.0,104518820.0,Moderate
C07269,21.04669109778781,73.41615143162001,4972.0,1168,1.62,0,2,0.603,0.527,8.2,10.91,15.25,1817.8,44810986.0,Moderate
C07270,27.661823498433055,83.6196115471704,19935.5,4839,3.67,7,10,0.548,0.338,1.7,24.06,2.58,6336.2,285602722.0,Moderate
C07271,22.533842450353653,72.24816999259099,4584.1,1069,2.56,1,3,0.174,0.533,5.0,21.96,21.37,1189.5,56670803.0,Moderate
C07272,23.48710674554863,79.02427770533113,3589.9,883,6.4,0,2,0.645,0.55,5.2,19.65,1.37,1364.6,47621444.0,Moderate
C07273,22.693173209781854,88.08018201355677,2710.4,494,3.77,1,4,0.848,1.464,12.5,39.71,17.42,1614.6,54847767.0,High
C07274,28.893454788438138,78.06736297635673,5883.5,1615,0.73,0,1,0.878,0.92,12.0,41.75,11.15,2970.9,157036461.0,Moderate
C07275,27.244587182440934,88.49820407493901,9614.8,2731,2.11,4,8,0.288,0.162,5.2,7.26,3.58,2126.6,61238003.0,None/Low
C07276,26.19988959178142,83.13155719576946,1627.7,348,5.17,0,3,0.651,0.591,2.0,39.25,13.28,633.4,32357684.0,Moderate
C07277,18.53467406541102,87.14207799058502,3322.8,771,0.98,0,2,0.646,0.225,9.4,8.19,16.72,1070.0,24242349.0,None/Low
C07278,24.31484382577615,77.97634409729092,25240.8,6791,4.32,1,30,0.419,1.173,14.7,29.56,15.39,11004.3,493557309.0,High
C07279,19.221206786205784,74.05577593061058,1830.8,464,1.26,0,0,0.728,0.386,8.4,24.92,8.5,680.1,28996497.0,Moderate
C07280,28.51215016561338,84.98042289742506,1883.5,528,3.54,0,0,0.639,0.133,2.5,4.21,4.82,572.1,10908093.0,None/Low
C07281,21.517273832894944,81.17054551411053,5499.9,1028,4.18,1,5,0.297,1.431,9.9,38.48,19.2,2485.6,101222358.0,High
C07282,28.76364969585468,82.88671433964173,1129.4,237,0.44,0,0,0.59,2.153,19.5,43.53,43.07,739.8,27494457.0,Severe
C07283,25.918891022947182,82.49986858402369,15145.1,3922,7.12,2,13,0.845,1.804,14.9,42.46,26.48,9935.5,419428880.0,High
C07284,26.4809881490297,82.67787544940323,3851.3,988,15.18,0,0,0.804,0.422,9.3,27.53,0.0,1528.5,67295170.0,Moderate
C07285,21.709146766445773,89.11456426648938,505.7,98,2.93,0,1,0.744,0.986,6.2,31.77,27.29,244.5,8737392.0,Moderate
C07286,26.033213433932282,85.86631758270008,5643.2,1216,1.37,4,4,0.482,0.742,5.2,23.06,23.37,2110.9,75891900.0,Moderate
C07287,24.749475140395514,81.41645315446779,6165.7,1392,0.52,0,4,0.58,1.814,17.1,55.06,19.61,3646.5,181736787.0,High
C07288,28.103142993212877,81.67680255599976,2842.5,756,3.39,0,1,0.629,1.555,5.7,31.76,29.22,1583.7,62474499.0,High
C07289,27.610851738277347,84.88529130944025,1060.6,220,8.09,0,3,0.4,0.243,2.5,0.0,1.44,279.8,3387040.0,None/Low
C07290,23.33393464747646,81.07754565437875,3068.9,649,2.27,2,2,0.694,0.039,1.1,4.28,15.59,922.3,16156053.0,None/Low
C07291,27.936962906557483,78.7036156853491,3058.6,789,6.22,0,1,0.448,0.087,1.0,19.78,0.0,757.5,37179204.0,None/Low
C07292,23.981454778879367,76.86665014677057,1169.2,227,2.79,0,0,0.418,1.479,6.7,39.47,25.65,573.7,23190923.0,High
C07293,24.253072377981958,75.95529356716158,1176.3,323,3.09,0,2,0.338,3.126,31.0,71.67,50.63,902.6,52889124.0,Severe
C07294,26.70343616198685,74.4808023715373,4429.3,854,5.23,2,4,0.644,1.202,18.4,19.24,36.75,2202.1,56475742.0,High
C07295,18.488214773025934,80.80728304302583,1226.0,272,2.39,0,4,0.28,0.994,11.6,24.62,10.92,452.3,17544999.0,Moderate
C07296,19.705796241751248,90.74199532783167,1255.9,283,15.91,0,1,0.693,0.12,1.0,23.31,7.85,395.3,16930298.0,None/Low
C07297,27.93694687914779,84.75652745248472,1274.0,290,4.93,0,0,0.659,0.759,8.7,23.4,8.14,536.8,18756252.0,Moderate
C07298,20.277094371620304,76.69672118608682,1637.3,315,1.11,0,0,0.732,0.0,1.0,25.13,0.0,496.2,20203763.0,None/Low
C07299,25.131922413516506,79.85082515747331,6897.2,1907,6.27,4,4,0.67,2.143,16.6,59.26,36.7,4643.4,259710233.0,Severe
C07300,22.50209584695195,83.97489519865688,1895.0,378,1.99,0,0,0.852,4.41,41.0,87.74,63.09,1895.0,82749678.0,Severe
C07301,23.826079461603268,90.20247341773666,2211.0,437,1.4,0,0,0.216,1.709,13.7,40.36,26.56,1064.7,44617878.0,High
C07302,28.685838164480703,79.43803978347701,3311.6,778,5.41,2,4,0.895,0.592,1.7,19.64,21.46,1490.9,45679715.0,Moderate
C07303,20.742662178989413,72.8625719524898,8099.6,1709,1.22,2,4,0.549,0.125,6.8,15.71,4.98,2265.8,75516794.0,None/Low
C07304,19.430227489828724,75.55132510584113,4036.4,764,2.68,0,3,0.828,1.719,16.4,50.37,25.26,2568.2,100262168.0,High
C07305,25.465150543623007,89.84100199195217,1871.7,362,2.14,0,1,0.434,0.244,2.4,16.51,10.1,509.8,16930424.0,None/Low
